Question,Answer
how does randomised algorithm work,the algorithm typically uses uniformly random bits as an auxiliary input to guide its behavior in the hope of achieving good performance in the average case over all possible choices of random bits
what do you mean by bestfirst search,bestfirst search is a search algorithm which explores a graph by expanding the most promising node chosen according to a specified rule
how do you explain a daemon,daemon disk and execution monitor is a process that runs in the background without users interaction they usually start at the booting time and terminate when the system is shut down
what is phonetic algorithm,a phonetic algorithm is an algorithm for indexing of words by their pronunciation
what do you mean by uniform costsearch,a tree search that finds the lowestcost route where costs vary
what is soundex,soundex is a phonetic algorithm for indexing names by sound
define a rightskewed binary tree,a rightskewed binary tree is a tree which has only right child nodes
difference between abstract data type data type and data structure,an abstract data type is the specification of the data type which specifies the logical and mathematical model of the data typea data type is the implementation of an abstract data type data structure refers to the collection of computer variables that are connected in some specific mannerie data type has its root in the abstract data type and a data structure comprises a set of computer variables of same or different data types
define root,this is the unique node in the tree to which further subtrees are attached
what do you mean by point in polygon algorithms,find the nearest point or points to a query point
use of algorithms in computer science,functional programming and logic programming
define dynamic time wrapping,measure similarity between two sequences which may vary in time or speed
what are the issues that hamper the efficiency in sorting a file,the issues are length of time required by the programmer in coding a particular sorting programamount of machine time necessary for running the particular programthe amount of space necessary for the particular program
how do you explain a semaphore,a semaphore is a hardware or a software tag variable whose value indicates the status of a common resource its purpose is to lock the common resource being used a process which needs the resource will check the semaphore to determine the status of the resource followed by the decision for proceeding in multitasking operating systems the activities are synchronized by using the semaphore techniques
how do you explain children of tree,children of a node the roots of the subtrees of a node are called the children of the node in figure 7 and 3 are children of node 1
what is match rating approach,match rating approach mra is a phonetic algorithm developed by western airlines in 1977 for the indexation and comparison of homophonous names
what is the worst case complexity of binary search,the worst case complexity of binary search is o1
how do you explain longest common subsequence problem,find the longest subsequence common to all sequences in a set of sequences
define an acyclic graph,a simple diagram which does not have any cycles is called an acyclic graph
what is cubic interpolation,in numerical analysis a cubic hermite spline or cubic hermite interpolator is a spline where each piece is a thirddegree polynomial specified in hermite form1 that is by its values and first derivatives at the end points of the corresponding domain interval
what do you mean by string metrics,compute a similarity or dissimilarity distance score between two pairs of text strings
define data structures,data structures is defined as the way of organizing all data items that consider not only the elements stored but also stores the relationship between the elements
what is cpu utilization,percentage of time that the cpu is doing useful work ie not being idle 100 is perfect
how do you explain path based strong component algorithm,in graph theory the strongly connected components of a directed graph may be found using an algorithm that uses depthfirst search in combination with two stacks one to keep track of the vertices in the current component and the second to keep track of the current search path
what do you mean by selection algorithm,in computer science a selection algorithm is an algorithm for finding the kth smallest number in a list or array such a number is called the kth order statistic
how do you explain the best page size when designing an operating system,the best paging size varies from system to system so there is no single best when it comes to page size there are different factors to consider in order to come up with a suitable page size such as page table paging time and its effect on the overall efficiency of the operating system
what do you mean by system stack,each process has one or more lifo stacks associated with it used to store parameters and calling addresses for procedure and system callsprocess control block pcb info needed by the os to control processes
define modular square root,computing square roots modulo a prime number
what is caching,caching is the processing of utilizing a region of fast memory for a limited data and process a cache memory is usually much efficient because of its high access speed
what are the applications of priority queues,the selection problemevent simulation
define recursive algorithm,a recursive algorithm is one that invokes or makes reference to itself repeatedly until a certain condition
what do you mean by the data structures used to perform recursion,stack because of its lifo last in first out property it remembers its caller so knows whom to return when the function has to return recursion makes use of system stack for storing the return addresses of the function calls every recursive function has its equivalent iterative nonrecursive function even when such equivalent iterative procedures are written explicit stack is to be used
what is ruperts algorithm,create quality delaunay triangulations
what do you mean by nearest neighbour algorithm,the nearest neighbour algorithm was one of the first algorithms used to determine a solution to the travelling salesman problem
how are server systems classified,server systems can be classified as either computerserver systems or file server systems in the first case an interface is made available for clients to send requests to perform an action in the second case provisions are available for clients to create access and update files
what is process migration,it is the transfer of sufficient amount of the state of process from one machine to the target machine
define thrashing,it is a phenomenon in virtual memory schemes when the processor spends most of its time swapping pages rather than executing instructions this is due to an inordinate number of page faults
define multiplication algorithms,fast multiplication of two numbers
briefly explain fcfs,fcfs is short for firstcome firstserved and is one type of scheduling algorithm in this scheme the process that requests the cpu first is allocated the cpu first implementation is managed by a fifo queue
what do you mean by a directed graph,a graph in which every edge is directed is called a directed graph
what do you mean by response time,this is the time elapsed from when a process is submitted until a useful output is obtained
how do you explain chudnovsky algorithm,a fast method for calculating the digits of p
what do you mean by dinics algorithm,dinicsalgorithm is a strongly polynomial algorithm for computing the maximum flow in a flow network
